GEO_ID,S1901_C01_012E
1400000US06037207306,48897
1400000US06037207307,-
1400000US06037207308,96098
1400000US06037207400,85455
1400000US06037207501,125833
1400000US06037207502,20202
1400000US06037207711,141364
1400000US06037207712,87687
1400000US06037207901,71726
1400000US06037207902,106304
1400000US06037208001,90564
1400000US06037208002,68105
1400000US06037208301,42548
1400000US06037208302,60660
1400000US06037208401,41620
1400000US06037208402,78594
1400000US06037208501,85313
1400000US06037208502,49543
1400000US06037208610,75761
1400000US06037208620,61947
1400000US06037208710,63914
1400000US06037208720,34791
1400000US06037208801,40588
1400000US06037208802,34750
1400000US06037208902,37759
1400000US06037208903,48308
1400000US06037208904,26640
1400000US06037209103,32550
1400000US06037209104,39000
1400000US06037209105,34092
1400000US06037209106,36411
1400000US06037209201,73599
1400000US06037209202,38443
1400000US06037209300,35446
1400000US06037209401,32361
1400000US06037209402,47783
1400000US06037209403,31806
1400000US06037209510,42639
1400000US06037209520,43266
1400000US06037209810,40574
1400000US06037209820,54722
1400000US06037210010,25293
1400000US06037211000,184034
1400000US06037211121,70167
1400000US06037211122,48830
1400000US06037211123,80568
1400000US06037211124,65000
1400000US06037211201,62237
1400000US06037211202,51627
1400000US06037211310,46966
1400000US06037211320,50000
1400000US06037211410,48952
1400000US06037211420,58835
1400000US06037211500,89688
1400000US06037211701,91196
1400000US06037211703,59840
1400000US06037211704,54931
1400000US06037211802,50995
1400000US06037211803,52370
1400000US06037211804,49242
1400000US06037211910,51895
1400000US06037211921,42071
1400000US06037211922,51803
1400000US06037212101,53208
1400000US06037212102,36830
1400000US06037212202,56719
1400000US06037212203,37869
1400000US06037212204,44083
1400000US06037212303,36758
1400000US06037212304,47500
1400000US06037212305,49400
1400000US06037212306,53158
1400000US06037212410,51265
1400000US06037212420,55106
1400000US06037212501,55625
1400000US06037212502,63500
1400000US06037212610,70495
1400000US06037212620,43862
1400000US06037212701,78370
1400000US06037212702,97619
1400000US06037212800,83125
1400000US06037212900,65577
1400000US06037213100,57783
1400000US06037213201,41987
1400000US06037213202,65956
1400000US06037213310,64405
1400000US06037213320,37120
1400000US06037213401,51875
1400000US06037213402,50139
1400000US06037214000,134167
1400000US06037214100,157188
1400000US06037214400,100792
1400000US06037214501,111875
1400000US06037214503,92431
1400000US06037214504,104435
1400000US06037214505,85147
1400000US06037214600,118477
1400000US06037214700,120462
1400000US06037214800,94229
1400000US06037214902,117614
1400000US06037214903,62583
1400000US06037214904,121439
1400000US06037215101,87731
1400000US06037215102,102191
1400000US06037216100,157917
1400000US06037216201,112798
1400000US06037216202,81875
1400000US06037216301,97282
1400000US06037216302,96477
1400000US06037216401,93229
1400000US06037216402,99213
